Username,projname,language,issue,type,addition,deletion
antirez,redis,C,289,no_commits,-1,-1
firehol,netdata,C,1650,events,169,41
Bilibili,ijkplayer,C,21,comments,12,32
kripken,emscripten,C,2608,no_commits,-1,-1
php,php-src,C,1038,pull_request,152,46
bang590,JSPatch,C,467,no_commits,-1,-1
grpc,grpc,C,1503,pull_request,35,8
stedolan,jq,C,466,events,6,2
irungentoo,toxcore,C,1456,no_commits,-1,-1
torch,torch7,C,36,no_commits,-1,-1
arduino,Arduino,C,2582,pull_request,14,5
h2o,h2o,C,824,pull_request,1,1
vurtun,nuklear,C,56,no_commits,-1,-1
libuv,libuv,C,183,events,20,4
antirez,disque,C,69,pull_request,21,0
robertdavidgraham,masscan,C,25,no_commits,-1,-1
libgit2,libgit2,C,36,comments,5,2
octalmage,robotjs,C,39,no_commits,-1,-1
liuliu,ccv,C,142,events,2,2
swoole,swoole-src,C,1141,no_commits,-1,-1
alibaba,tengine,C,678,pull_request,86,8
mpv-player,mpv,C,1565,events,6,6
nothings,stb,C,51,pull_request,22,22
allinurl,goaccess,C,652,no_commits,-1,-1
cloudwu,skynet,C,248,events,2,2
sdegutis,mjolnir,C,459,no_commits,-1,-1
facebook,zstd,C,173,events,97,80
curl,curl,C,686,events,15,0
haiwen,seafile,C,684,no_commits,-1,-1
symless,synergy-core,C,4369,no_commits,-1,-1
micropython,micropython,C,426,comments,2,3
radare,radare2,C,3747,events,12,22
andlabs,libui,C,107,no_commits,-1,-1
numpy,numpy,C,875,no_commits,-1,-1
jonas,tig,C,418,no_commits,-1,-1
tensorflow,tensorflow,C++,8842,no_commits,-1,-1
electron,electron,C++,623,events,2,1
nwjs,nw.js,C++,32,events,1230,0
rethinkdb,rethinkdb,C++,4972,no_commits,-1,-1
BVLC,caffe,C++,2958,pull_request,7,2
google,protobuf,C++,1986,no_commits,-1,-1
opencv,opencv,C++,6315,events,1,1
bitcoin,bitcoin,C++,788,no_commits,-1,-1
Microsoft,CNTK,C++,165,no_commits,-1,-1
cocos2d,cocos2d-x,C++,15473,pull_request,1021,692
tesseract-ocr,tesseract,C++,182,events,0,0
dmlc,mxnet,C++,2555,no_commits,-1,-1
google,guetzli,C++,110,events,32,32
google,leveldb,C++,401,no_commits,-1,-1
Tencent,mars,C++,25,absent,-1,-1
facebook,folly,C++,348,no_commits,-1,-1
facebook,osquery,C++,1360,pull_request,11,4
godotengine,godot,C++,3133,no_commits,-1,-1
facebook,rocksdb,C++,552,no_commits,-1,-1
uWebSockets,uWebSockets,C++,106,absent,-1,-1
dmlc,xgboost,C++,399,pull_request,18,19
ocornut,imgui,C++,23,events,3,3
mobile-shell,mosh,C++,264,events,10,8
sqlitebrowser,sqlitebrowser,C++,261,events,48,0
SFTtech,openage,C++,511,events,17,11
Studio3T,robomongo,C++,548,events,6,15
facebook,watchman,C++,17,events,101,49
nlohmann,json,C++,444,no_commits,-1,-1
openframeworks,openFrameworks,C++,3887,events,1,1
googlei18n,libphonenumber,C++,334,absent,-1,-1
telegramdesktop,tdesktop,C++,3001,no_commits,-1,-1
aria2,aria2,C++,544,no_commits,-1,-1
esp8266,Arduino,C++,1824,no_commits,-1,-1
PaddlePaddle,Paddle,C++,286,events,31793,12593
philsquared,Catch,C++,508,comments,6,8
bjorn,tiled,C++,1185,no_commits,-1,-1
uglide,RedisDesktopManager,C++,1692,no_commits,-1,-1
draios,sysdig,C++,24,no_commits,-1,-1
ideawu,ssdb,C++,34,no_commits,-1,-1
miloyip,rapidjson,C++,294,no_commits,-1,-1
dotnet,corefx,C#,8389,no_commits,-1,-1
shadowsocks,shadowsocks-windows,C#,47,events,177,174
thedillonb,CodeHub,C#,144,events,355,246
dotnet,coreclr,C#,7042,events,3,3
dotnet,roslyn,C#,8889,pull_request,50,30
PowerShell,PowerShell,C#,3124,no_commits,-1,-1
SignalR,SignalR,C#,1527,no_commits,-1,-1
StackExchange,Dapper,C#,326,no_commits,-1,-1
ShareX,ShareX,C#,1648,events,3,3
Wox-launcher,Wox,C#,475,events,60,170
NancyFx,Nancy,C#,1246,no_commits,-1,-1
aspnet,EntityFramework,C#,6057,no_commits,-1,-1
AutoMapper,AutoMapper,C#,828,events,406,16
restsharp,RestSharp,C#,154,events,9,9
aspnet,Mvc,C#,3100,events,255,13
OpenRA,OpenRA,C#,11236,no_commits,-1,-1
Microsoft,BotBuilder,C#,113,no_commits,-1,-1
hbons,SparkleShare,C#,592,no_commits,-1,-1
Redth,PushSharp,C#,288,no_commits,-1,-1
MahApps,MahApps.Metro,C#,1263,no_commits,-1,-1
reactiveui,ReactiveUI,C#,1005,no_commits,-1,-1
cefsharp,CefSharp,C#,162,events,34,18
Microsoft,msbuild,C#,931,no_commits,-1,-1
opserver,Opserver,C#,10,no_commits,-1,-1
chocolatey,choco,C#,811,events,183,39
HearthSim,Hearthstone-Deck-Tracker,C#,610,no_commits,-1,-1
dotnet,orleans,C#,1443,pull_request,5,1
ButchersBoy,MaterialDesignInXamlToolkit,C#,545,events,273,201
OptiKey,OptiKey,C#,84,events,42,28
aspnetboilerplate,aspnetboilerplate,C#,1516,pull_request,0,0
Humanizr,Humanizer,C#,132,no_commits,-1,-1
HangfireIO,Hangfire,C#,832,pull_request,1,1
jaredpar,VsVim,C#,1616,no_commits,-1,-1
Sonarr,Sonarr,C#,1022,events,84,2
NLog,NLog,C#,1108,no_commits,-1,-1
App-vNext,Polly,C#,219,no_commits,-1,-1
akkadotnet,akka.net,C#,687,no_commits,-1,-1
JeremySkinner,FluentValidation,C#,218,no_commits,-1,-1
AvaloniaUI,Avalonia,C#,706,events,110,15
gitextensions,gitextensions,C#,1320,events,4,4
Microsoft,react-native-windows,C#,672,events,732,1652
Nummer,Destroy-Windows-10-Spying,C#,149,no_commits,-1,-1
StackExchange,StackExchange.Redis,C#,206,no_commits,-1,-1
0xd4d,dnSpy,C#,131,no_commits,-1,-1
OpenLiveWriter,OpenLiveWriter,C#,102,no_commits,-1,-1
dotnet,cli,C#,961,no_commits,-1,-1
jakubroztocil,httpie,Python,252,events,63,3
pallets,flask,Python,1173,no_commits,-1,-1
rg3,youtube-dl,Python,7371,events,1,1
nvbn,thefuck,Python,301,events,153,48
kennethreitz,requests,Python,2345,events,12,3
ansible,ansible,Python,7695,no_commits,-1,-1
scrapy,scrapy,Python,2321,events,14,13
certbot,certbot,Python,3672,events,18,0
scikit-learn,scikit-learn,Python,5808,no_commits,-1,-1
shadowsocks,shadowsocks,Python,183,events,30,6
donnemartin,system-design-primer,Python,1,events,18,16
fchollet,keras,Python,6173,no_commits,-1,-1
XX-net,XX-Net,Python,342,no_commits,-1,-1
Valloric,YouCompleteMe,Python,102,no_commits,-1,-1
tensorflow,models,Python,892,no_commits,-1,-1
airbnb,superset,Python,1283,no_commits,-1,-1
reddit,reddit,Python,143,absent,-1,-1
getsentry,sentry,Python,975,events,4,0
soimort,you-get,Python,259,absent,-1,-1
ipython,ipython,Python,8012,events,27,0
drduh,macOS-Security-and-Privacy-Guide,Python,179,no_commits,-1,-1
adobe-fonts,source-code-pro,Python,121,events,8,2
docker,compose,Python,3035,no_commits,-1,-1
pandas-dev,pandas,Python,10245,comments,220,61
donnemartin,interactive-coding-challenges,Python,173,events,461,457
equinusocio,material-theme,Python,992,absent,-1,-1
chrissimpkins,Hack,Python,192,no_commits,-1,-1
donnemartin,data-science-ipython-notebooks,Python,3,comments,3,1
binux,pyspider,Python,561,events,1,2
fabric,fabric,Python,649,events,73,23
sqlmapproject,sqlmap,Python,1190,events,6,8
fxsjy,jieba,Python,26,events,2,1
Rochester-NRT,RocAlphaGo,Python,72,no_commits,-1,-1
encode,django-rest-framework,Python,2572,pull_request,60,1
alexjc,neural-doodle,Python,70,no_commits,-1,-1
saltstack,salt,Python,37037,no_commits,-1,-1
mitmproxy,mitmproxy,Python,522,events,26,15
powerline,powerline,Python,1511,comments,0,1
python,cpython,Python,1137,pull_request,1,1
nicolargo,glances,Python,617,no_commits,-1,-1
mailpile,Mailpile,Python,341,no_commits,-1,-1
HelloZeroNet,ZeroNet,Python,6,comments,22,17
getpelican,pelican,Python,1062,events,5,0
atlassian,localstack,Python,65,absent,-1,-1
spotify,luigi,Python,1408,pull_request,4,4
celery,celery,Python,1977,events,10,6
home-assistant,home-assistant,Python,4331,pull_request,3,2
alexjc,neural-enhance,Python,74,events,2,2
ReactiveX,RxJava,Java,2989,pull_request,44,7
elastic,elasticsearch,Java,13088,no_commits,-1,-1
square,retrofit,Java,1253,no_commits,-1,-1
square,okhttp,Java,1253,no_commits,-1,-1
iluwatar,java-design-patterns,Java,95,events,223,236
JakeWharton,butterknife,Java,782,no_commits,-1,-1
nostra13,Android-Universal-Image-Loader,Java,265,events,3,1
PhilJay,MPAndroidChart,Java,146,events,22,15
bumptech,glide,Java,1396,no_commits,-1,-1
square,leakcanary,Java,698,no_commits,-1,-1
greenrobot,EventBus,Java,31,comments,78,64
square,picasso,Java,1346,no_commits,-1,-1
google,iosched,Java,102,events,3,1
zxing,zxing,Java,397,pull_request,0,0
facebook,fresco,Java,335,events,132,104
airbnb,lottie-android,Java,148,events,6,3
spring-projects,spring-boot,Java,2891,events,48,6
libgdx,libgdx,Java,2383,no_commits,-1,-1
jfeinstein10,SlidingMenu,Java,6,no_commits,-1,-1
chrisbanes,PhotoView,Java,115,no_commits,-1,-1
netty,netty,Java,2152,no_commits,-1,-1
afollestad,material-dialogs,Java,520,no_commits,-1,-1
Netflix,Hystrix,Java,985,no_commits,-1,-1
Blankj,AndroidUtilCode,Java,39,pull_request,5,1
JakeWharton,ViewPagerIndicator,Java,40,events,2,2
alibaba,fastjson,Java,784,events,50,2
pockethub,PocketHub,Java,256,events,2,2
Tencent,tinker,Java,139,no_commits,-1,-1
android10,Android-CleanArchitecture,Java,92,comments,1,1
alibaba,dubbo,Java,91,no_commits,-1,-1
WhisperSystems,Signal-Android,Java,5999,events,145,38
daimajia,AndroidSwipeLayout,Java,2,events,0,1754
google,flexbox-layout,Java,62,events,1107,344
realm,realm-java,Java,1854,no_commits,-1,-1
greenrobot,greenDAO,Java,352,no_commits,-1,-1
facebook,stetho,Java,330,events,2,0
JakeWharton,ActionBarSherlock,Java,455,no_commits,-1,-1
mikepenz,MaterialDrawer,Java,109,no_commits,-1,-1
hdodenhof,CircleImageView,Java,23,events,1,1
google,agera,Java,74,pull_request,9,7
google,ExoPlayer,Java,1529,events,98,26
moby,moby,Go,17190,no_commits,-1,-1
kubernetes,kubernetes,Go,21252,no_commits,-1,-1
avelino,awesome-go,Go,983,no_commits,-1,-1
gogits,gogs,Go,478,events,132,30
spf13,hugo,Go,1796,comments,7,2
syncthing,syncthing,Go,1978,events,50,0
grafana,grafana,Go,4986,events,16,2
coreos,etcd,Go,7009,events,39,41
mholt,caddy,Go,298,events,60,34
astaxie,beego,Go,2456,events,94,69
influxdata,influxdb,Go,7841,events,502,29
github,hub,Go,20,no_commits,-1,-1
cayleygraph,cayley,Go,21,events,204,92
inconshreveable,ngrok,Go,105,no_commits,-1,-1
gin-gonic,gin,Go,314,no_commits,-1,-1
drone,drone,Go,817,no_commits,-1,-1
cockroachdb,cockroach,Go,5722,events,10,10
go-martini,martini,Go,86,no_commits,-1,-1
prometheus,prometheus,Go,2377,no_commits,-1,-1
hashicorp,consul,Go,2428,no_commits,-1,-1
nsqio,nsq,Go,414,no_commits,-1,-1
junegunn,fzf,Go,177,events,1,0
revel,revel,Go,870,pull_request,1,1
hashicorp,terraform,Go,12068,pull_request,8,7
pingcap,tidb,Go,1050,no_commits,-1,-1
containous,traefik,Go,1489,pull_request,61,79
joewalnes,websocketd,Go,58,events,595,262
yudai,gotty,Go,48,no_commits,-1,-1
buger,goreplay,Go,342,no_commits,-1,-1
labstack,echo,Go,405,events,6,4
rkt,rkt,Go,2706,events,18,18
hashicorp,vault,Go,197,no_commits,-1,-1
go-kit,kit,Go,371,pull_request,10,13
hashicorp,packer,Go,3836,pull_request,6,1
asciimoo,wuzz,Go,26,events,1,0
attic-labs,noms,Go,1789,no_commits,-1,-1
boltdb,bolt,Go,80,events,2,1
flynn,flynn,Go,100,events,1,1
gizak,termui,Go,9,events,6,1
ncw,rclone,Go,95,events,3,0
urfave,cli,Go,307,no_commits,-1,-1
CodisLabs,codis,Go,1184,events,20,21
jinzhu,gorm,Go,765,no_commits,-1,-1
google,cadvisor,Go,620,no_commits,-1,-1
tsenart,vegeta,Go,12,no_commits,-1,-1
derekparker,delve,Go,642,events,4,2
bcicen,ctop,Go,13,no_commits,-1,-1
apex,apex,Go,400,events,2,2
zyedidia,micro,Go,205,no_commits,-1,-1
cyfdecyf,cow,Go,31,no_commits,-1,-1
gopherjs,gopherjs,Go,434,events,2,2
freeCodeCamp,freeCodeCamp,JavaScript,115,no_commits,-1,-1
twbs,bootstrap,JavaScript,20427,no_commits,-1,-1
facebook,react,JavaScript,5929,events,61,1
d3,d3,JavaScript,2589,absent,-1,-1
getify,You-Dont-Know-JS,JavaScript,458,pull_request,0,0
angular,angular.js,JavaScript,13095,pull_request,14,11
vuejs,vue,JavaScript,3219,no_commits,-1,-1
airbnb,javascript,JavaScript,280,no_commits,-1,-1
jquery,jquery,JavaScript,1874,events,22,14
meteor,meteor,JavaScript,8427,events,14,2
h5bp,html5-boilerplate,JavaScript,981,no_commits,-1,-1
Semantic-Org,Semantic-UI,JavaScript,1590,events,0,2
nodejs,node,JavaScript,7089,pull_request,81,46
hakimel,reveal.js,JavaScript,239,no_commits,-1,-1
mrdoob,three.js,JavaScript,1758,events,394,352
socketio,socket.io,JavaScript,405,no_commits,-1,-1
impress,impress.js,JavaScript,287,no_commits,-1,-1
expressjs,express,JavaScript,2459,events,83,40
moment,moment,JavaScript,2592,no_commits,-1,-1
reactjs,redux,JavaScript,1346,no_commits,-1,-1
chartjs,Chart.js,JavaScript,3173,no_commits,-1,-1
resume,resume.github.com,JavaScript,11,events,8,6
adobe,brackets,JavaScript,7716,no_commits,-1,-1
webpack,webpack,JavaScript,4550,no_commits,-1,-1
jashkenas,backbone,JavaScript,1030,events,1686,1102
gulpjs,gulp,JavaScript,1741,events,17,17
Dogfalo,materialize,JavaScript,1509,no_commits,-1,-1
zurb,foundation-sites,JavaScript,7724,events,1,1
facebookincubator,create-react-app,JavaScript,1160,no_commits,-1,-1
callemall,material-ui,JavaScript,88,no_commits,-1,-1
yarnpkg,yarn,JavaScript,1366,no_commits,-1,-1
lodash,lodash,JavaScript,1101,events,50,30
nylas,nylas-mail,JavaScript,91,no_commits,-1,-1
TryGhost,Ghost,JavaScript,483,events,24,4
ReactTraining,react-router,JavaScript,2122,no_commits,-1,-1
caolan,async,JavaScript,1293,events,252,51
babel,babel,JavaScript,5315,events,100,2
tastejs,todomvc,JavaScript,257,events,58,32
jashkenas,underscore,JavaScript,355,no_commits,-1,-1
Modernizr,Modernizr,JavaScript,1588,events,5,0
select2,select2,JavaScript,2192,no_commits,-1,-1
adam-p,markdown-here,JavaScript,89,events,113,48
alvarotrigo,fullPage.js,JavaScript,1063,events,124,90
Unitech,pm2,JavaScript,1764,events,103,46
facebook,immutable-js,JavaScript,797,events,14,0
Leaflet,Leaflet,JavaScript,5176,events,5,5
kenwheeler,slick,JavaScript,2562,no_commits,-1,-1
mzabriskie,axios,JavaScript,3,events,38,1
emberjs,ember.js,JavaScript,4651,no_commits,-1,-1
mozilla,pdf.js,JavaScript,4456,events,128,39
justjavac,free-programming-books-zh_CN,JavaScript,477,no_commits,-1,-1
ecomfe,echarts,JavaScript,3128,no_commits,-1,-1
zenorocha,clipboard.js,JavaScript,17,events,89,8
balderdashy,sails,JavaScript,3959,events,40,0
zeit,hyper,JavaScript,806,no_commits,-1,-1
hammerjs,hammer.js,JavaScript,764,no_commits,-1,-1
laravel,laravel,PHP,967,pull_request,6,1
symfony,symfony,PHP,21078,pull_request,92,0
bcit-ci,CodeIgniter,PHP,4179,events,5,0
fzaninotto,Faker,PHP,1048,events,1,1
yiisoft,yii2,PHP,8593,no_commits,-1,-1
composer,composer,PHP,2821,events,1,1
guzzle,guzzle,PHP,1149,events,2,2
PHPMailer,PHPMailer,PHP,215,events,2,2
roots,sage,PHP,1870,events,230,183
PHPOffice,PHPExcel,PHP,318,no_commits,-1,-1
phalcon,cphalcon,PHP,318,no_commits,-1,-1
slimphp,Slim,PHP,115,no_commits,-1,-1
phanan,koel,PHP,39,events,9,14
piwik,piwik,PHP,8312,no_commits,-1,-1
laravel,framework,PHP,7058,pull_request,0,0
serbanghita,Mobile-Detect,PHP,163,no_commits,-1,-1
getgrav,grav,PHP,995,events,17,9
CachetHQ,Cachet,PHP,1677,events,34,2
sebastianbergmann,phpunit,PHP,2340,pull_request,69,6
Seldaek,monolog,PHP,610,no_commits,-1,-1
octobercms,october,PHP,1681,events,21,2
twostairs,paperwork,PHP,349,no_commits,-1,-1
dingo,api,PHP,721,events,1,1
briannesbitt,Carbon,PHP,852,no_commits,-1,-1
owncloud,core,PHP,5832,no_commits,-1,-1
Intervention,image,PHP,87,no_commits,-1,-1
reactphp,react,PHP,275,events,5,2
yiisoft,yii,PHP,1742,no_commits,-1,-1
justinwalsh,daux.io,PHP,286,pull_request,0,0
Zizaco,entrust,PHP,127,no_commits,-1,-1
overtrue,wechat,PHP,34,events,1,1
FriendsOfPHP,PHP-CS-Fixer,PHP,903,pull_request,0,0
google,google-api-php-client,PHP,510,no_commits,-1,-1
magento,magento2,PHP,1004,events,1143,610
walkor,Workerman,PHP,48,no_commits,-1,-1
pagekit,pagekit,PHP,323,no_commits,-1,-1
deployphp,deployer,PHP,951,events,8,2
humhub,humhub,PHP,1181,events,1044,849
Respect,Validation,PHP,396,no_commits,-1,-1
WP-API,WP-API,PHP,1426,pull_request,15,1
Varying-Vagrant-Vagrants,VVV,PHP,1164,pull_request,1,1
tymondesigns,jwt-auth,PHP,24,no_commits,-1,-1
dompdf,dompdf,PHP,128,no_commits,-1,-1
doctrine,doctrine2,PHP,2600,no_commits,-1,-1
electerious,Lychee,PHP,348,events,3,2
AFNetworking,AFNetworking,Objective-C,3344,pull_request,0,0
rs,SDWebImage,Objective-C,210,no_commits,-1,-1
BradLarson,GPUImage,Objective-C,213,no_commits,-1,-1
SnapKit,Masonry,Objective-C,373,no_commits,-1,-1
jdg,MBProgressHUD,Objective-C,358,events,32,0
realm,realm-cocoa,Objective-C,4569,no_commits,-1,-1
Mantle,Mantle,Objective-C,196,no_commits,-1,-1
CoderMJLee,MJRefresh,Objective-C,633,no_commits,-1,-1
jessesquires,JSQMessagesViewController,Objective-C,1335,no_commits,-1,-1
magicalpanda,MagicalRecord,Objective-C,904,no_commits,-1,-1
RestKit,RestKit,Objective-C,133,no_commits,-1,-1
alcatraz,Alcatraz,Objective-C,17,events,9,5
ibireme,YYKit,Objective-C,166,comments,6,0
SVProgressHUD,SVProgressHUD,Objective-C,610,no_commits,-1,-1
CocoaLumberjack,CocoaLumberjack,Objective-C,429,no_commits,-1,-1
ViccAlexander,Chameleon,Objective-C,11,pull_request,0,0
hackiftekhar,IQKeyboardManager,Objective-C,763,no_commits,-1,-1
robbiehanson,CocoaAsyncSocket,Objective-C,182,no_commits,-1,-1
onevcat,VVDocumenter-Xcode,Objective-C,131,no_commits,-1,-1
dzenbot,DZNEmptyDataSet,Objective-C,123,no_commits,-1,-1
airbnb,lottie-ios,Objective-C,94,no_commits,-1,-1
matryer,bitbar,Objective-C,297,comments,3,4
Flipboard,FLEX,Objective-C,103,comments,36,34
slackhq,SlackTextViewController,Objective-C,234,events,75,75
OpenEmu,OpenEmu,Objective-C,1694,events,15,3
TTTAttributedLabel,TTTAttributedLabel,Objective-C,49,no_commits,-1,-1
path,FastImageCache,Objective-C,31,no_commits,-1,-1
mwaterfall,MWPhotoBrowser,Objective-C,131,events,134,42
romaonthego,RESideMenu,Objective-C,103,no_commits,-1,-1
facebook,SocketRocket,Objective-C,371,pull_request,21,17
git-up,GitUp,Objective-C,92,pull_request,1,1
jigish,slate,Objective-C,222,events,43,7
PureLayout,PureLayout,Objective-C,82,no_commits,-1,-1
facebook,xctool,Objective-C,461,comments,38,26
jverkoey,nimbus,Objective-C,264,no_commits,-1,-1
ibireme,YYText,Objective-C,45,events,1,0
mutualmobile,MMDrawerController,Objective-C,71,pull_request,99,83
zwaldowski,BlocksKit,Objective-C,192,no_commits,-1,-1
jsonmodel,jsonmodel,Objective-C,562,no_commits,-1,-1
johnezang,JSONKit,Objective-C,8,no_commits,-1,-1
MacDownApp,macdown,Objective-C,115,events,21,0
facebook,facebook-ios-sdk,Objective-C,146,pull_request,0,0
jekyll,jekyll,Ruby,5860,pull_request,18,4
Homebrew,legacy-homebrew,Ruby,46114,comments,14,5
plataformatec,devise,Ruby,1631,no_commits,-1,-1
cantino,huginn,Ruby,1921,events,2,2
fastlane,fastlane,Ruby,3996,no_commits,-1,-1
mitchellh,vagrant,Ruby,5019,no_commits,-1,-1
Thibaut,devdocs,Ruby,426,events,5,3
twbs,bootstrap-sass,Ruby,465,no_commits,-1,-1
diaspora,diaspora,Ruby,2628,no_commits,-1,-1
sass,sass,Ruby,1174,events,31,15
imathis,octopress,Ruby,179,events,26,6
capistrano,capistrano,Ruby,1568,no_commits,-1,-1
sinatra,sinatra,Ruby,1004,no_commits,-1,-1
thoughtbot,paperclip,Ruby,331,no_commits,-1,-1
spree,spree,Ruby,7389,no_commits,-1,-1
tootsuite,mastodon,Ruby,1705,no_commits,-1,-1
thoughtbot,bourbon,Ruby,391,events,79,47
ruby-grape,grape,Ruby,904,events,932,41
resque,resque,Ruby,1353,no_commits,-1,-1
teamcapybara,capybara,Ruby,140,no_commits,-1,-1
jordansissel,fpm,Ruby,415,no_commits,-1,-1
bbatsov,rubocop,Ruby,2261,events,57,3
carrierwaveuploader,carrierwave,Ruby,1594,events,83,8
elastic,logstash,Ruby,4592,events,259,34
activeadmin,activeadmin,Ruby,1890,no_commits,-1,-1
javan,whenever,Ruby,579,no_commits,-1,-1
plataformatec,simple_form,Ruby,341,events,20,0
tmuxinator,tmuxinator,Ruby,214,no_commits,-1,-1
sferik,rails_admin,Ruby,334,no_commits,-1,-1
kaminari,kaminari,Ruby,421,no_commits,-1,-1
omniauth,omniauth,Ruby,239,no_commits,-1,-1
ryanb,cancan,Ruby,595,no_commits,-1,-1
charliesome,better_errors,Ruby,19,events,5,1
middleman,middleman,Ruby,148,no_commits,-1,-1
Shopify,liquid,Ruby,289,no_commits,-1,-1
skwp,dotfiles,Ruby,36,no_commits,-1,-1
venmo,synx,Ruby,43,no_commits,-1,-1
guard,guard,Ruby,286,no_commits,-1,-1
thoughtbot,factory_girl,Ruby,29,no_commits,-1,-1
fluent,fluentd,Ruby,1443,pull_request,63,0
elabs,pundit,Ruby,353,events,2,2
mislav,will_paginate,Ruby,120,events,6,3
cucumber,cucumber-ruby,Ruby,784,no_commits,-1,-1
